
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 08:21:14 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 20:21:15.373] [scope] [info] recorded system CPU turbo state
[2023-10-09 20:21:15.373] [scope] [info] recorded CPU goveror
[2023-10-09 20:21:15.373] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 20:21:15.373] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T20:21:17-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1796.12 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.45, 0.25, 0.20
-----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations UserCounters...
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time_stddev       38.1 ns         1660 ns            5 bytes=0 bytes_per_second=71.8239M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time_cv           0.33 %          0.11 %             5 bytes=0.00% bytes_per_second=0.33% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time             19045 ns      2622700 ns        36722 bytes=524.288k bytes_per_second=25.6383G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time             19056 ns      2621065 ns        36722 bytes=524.288k bytes_per_second=25.624G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time             19000 ns      2622783 ns        36722 bytes=524.288k bytes_per_second=25.6984G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time             19060 ns      2622744 ns        36722 bytes=524.288k bytes_per_second=25.6183G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time             19063 ns      2623048 ns        36722 bytes=524.288k bytes_per_second=25.6142G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time_mean        19045 ns      2622468 ns            5 bytes=524.288k bytes_per_second=25.6387G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time_median      19056 ns      2622744 ns            5 bytes=524.288k bytes_per_second=25.624G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time_stddev       25.7 ns          796 ns            5 bytes=0 bytes_per_second=35.4623M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):19/manual_time_cv           0.13 %          0.03 %             5 bytes=0.00% bytes_per_second=0.14% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time             33800 ns      4967549 ns        20751 bytes=1048.58k bytes_per_second=28.8927G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time             33681 ns      4970475 ns        20751 bytes=1048.58k bytes_per_second=28.994G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time             33712 ns      4967940 ns        20751 bytes=1048.58k bytes_per_second=28.9681G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time             33821 ns      4972069 ns        20751 bytes=1048.58k bytes_per_second=28.8742G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time             33841 ns      4968986 ns        20751 bytes=1048.58k bytes_per_second=28.8571G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time_mean        33771 ns      4969404 ns            5 bytes=1048.58k bytes_per_second=28.9172G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time_median      33800 ns      4968986 ns            5 bytes=1048.58k bytes_per_second=28.8927G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time_stddev       70.4 ns         1871 ns            5 bytes=0 bytes_per_second=61.758M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):20/manual_time_cv           0.21 %          0.04 %             5 bytes=0.00% bytes_per_second=0.21% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time             63539 ns      9895292 ns        11000 bytes=2.09715M bytes_per_second=30.7391G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time             63433 ns      9896801 ns        11000 bytes=2.09715M bytes_per_second=30.7902G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time             63345 ns      9620552 ns        11000 bytes=2.09715M bytes_per_second=30.8329G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time             63294 ns      9608109 ns        11000 bytes=2.09715M bytes_per_second=30.8581G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time             63323 ns      9592106 ns        11000 bytes=2.09715M bytes_per_second=30.844G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time_mean        63387 ns      9722572 ns            5 bytes=2.09715M bytes_per_second=30.8129G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time_median      63345 ns      9620552 ns            5 bytes=2.09715M bytes_per_second=30.8329G/s dst_numa=0 src_gpu=0
