
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:45:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:45:31.397] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:45:31.398] [scope] [info] recorded CPU goveror
[2023-10-09 17:45:31.398] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:45:31.398] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:45:33-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.92 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.29, 3.20, 19.10
--------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time             12629 ns        33148 ns        55465 bytes=1048.58k bytes_per_second=77.3247G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time_mean        12622 ns        33165 ns            5 bytes=1048.58k bytes_per_second=77.368G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time_median      12624 ns        33155 ns            5 bytes=1048.58k bytes_per_second=77.3595G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time_stddev       6.88 ns         26.5 ns            5 bytes=0 bytes_per_second=43.1929M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time_cv           0.05 %          0.08 %             5 bytes=0.00% bytes_per_second=0.05% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time             12789 ns        33555 ns        54855 bytes=2.09715M bytes_per_second=152.722G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time             12790 ns        33588 ns        54855 bytes=2.09715M bytes_per_second=152.709G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time             12759 ns        33483 ns        54855 bytes=2.09715M bytes_per_second=153.074G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time             12758 ns        33470 ns        54855 bytes=2.09715M bytes_per_second=153.091G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time             12784 ns        33551 ns        54855 bytes=2.09715M bytes_per_second=152.774G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time_mean        12776 ns        33529 ns            5 bytes=2.09715M bytes_per_second=152.874G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time_median      12784 ns        33551 ns            5 bytes=2.09715M bytes_per_second=152.774G/s own_gpu=0 wr_gpu=0
