
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.025] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.025] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.025] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.025] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1790.37 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.63, 11.72, 27.46
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time_cv           0.05 %          0.05 %             5 bytes=0.00% bytes_per_second=0.05% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time             49890 ns        76844 ns        14029 bytes=1048.58k bytes_per_second=19.5744G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time             49892 ns        76832 ns        14029 bytes=1048.58k bytes_per_second=19.5733G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time             49905 ns        76819 ns        14029 bytes=1048.58k bytes_per_second=19.5686G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time             49901 ns        76789 ns        14029 bytes=1048.58k bytes_per_second=19.5702G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time             49887 ns        76854 ns        14029 bytes=1048.58k bytes_per_second=19.5754G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time_mean        49895 ns        76828 ns            5 bytes=1048.58k bytes_per_second=19.5724G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time_median      49892 ns        76832 ns            5 bytes=1048.58k bytes_per_second=19.5733G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time_stddev       7.41 ns         25.2 ns            5 bytes=0 bytes_per_second=2.97605M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):20/manual_time_cv           0.01 %          0.03 %             5 bytes=0.00% bytes_per_second=0.01% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time             91041 ns       132126 ns         7690 bytes=2.09715M bytes_per_second=21.4532G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time             91049 ns       132052 ns         7690 bytes=2.09715M bytes_per_second=21.4514G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time             91058 ns       132108 ns         7690 bytes=2.09715M bytes_per_second=21.4492G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time             91019 ns       132119 ns         7690 bytes=2.09715M bytes_per_second=21.4584G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time             91012 ns       132106 ns         7690 bytes=2.09715M bytes_per_second=21.4601G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time_mean        91036 ns       132102 ns            5 bytes=2.09715M bytes_per_second=21.4545G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time_median      91041 ns       132108 ns            5 bytes=2.09715M bytes_per_second=21.4532G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time_stddev       19.7 ns         29.3 ns            5 bytes=0 bytes_per_second=4.74509M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):21/manual_time_cv           0.02 %          0.02 %             5 bytes=0.00% bytes_per_second=0.02% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time            173187 ns       240365 ns         4041 bytes=4.1943M bytes_per_second=22.5552G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time            173202 ns       244088 ns         4041 bytes=4.1943M bytes_per_second=22.5532G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time            173198 ns       240340 ns         4041 bytes=4.1943M bytes_per_second=22.5537G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time            173189 ns       244174 ns         4041 bytes=4.1943M bytes_per_second=22.5548G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time            173191 ns       240632 ns         4041 bytes=4.1943M bytes_per_second=22.5546G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time_mean       173193 ns       241920 ns            5 bytes=4.1943M bytes_per_second=22.5543G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time_median     173191 ns       240632 ns            5 bytes=4.1943M bytes_per_second=22.5546G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time_stddev       6.23 ns         2022 ns            5 bytes=0 bytes_per_second=850.259k/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):22/manual_time_cv           0.00 %          0.84 %             5 bytes=0.00% bytes_per_second=0.00% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time            337221 ns       457941 ns         2076 bytes=8.38861M bytes_per_second=23.1673G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time            337320 ns       466865 ns         2076 bytes=8.38861M bytes_per_second=23.1605G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time            337234 ns       458136 ns         2076 bytes=8.38861M bytes_per_second=23.1664G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time            337195 ns       466960 ns         2076 bytes=8.38861M bytes_per_second=23.1691G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time            337215 ns       457882 ns         2076 bytes=8.38861M bytes_per_second=23.1677G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time_mean       337237 ns       461557 ns            5 bytes=8.38861M bytes_per_second=23.1662G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time_median     337221 ns       458136 ns            5 bytes=8.38861M bytes_per_second=23.1673G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time_stddev       48.5 ns         4890 ns            5 bytes=0 bytes_per_second=3.41177M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):23/manual_time_cv           0.01 %          1.06 %             5 bytes=0.00% bytes_per_second=0.01% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time            667902 ns       920301 ns         1048 bytes=16.7772M bytes_per_second=23.3941G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time            668092 ns       921196 ns         1048 bytes=16.7772M bytes_per_second=23.3875G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time            668197 ns       890874 ns         1048 bytes=16.7772M bytes_per_second=23.3838G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time            668325 ns       892868 ns         1048 bytes=16.7772M bytes_per_second=23.3794G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time            668204 ns       892911 ns         1048 bytes=16.7772M bytes_per_second=23.3836G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time_mean       668144 ns       903630 ns            5 bytes=16.7772M bytes_per_second=23.3857G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time_median     668197 ns       892911 ns            5 bytes=16.7772M bytes_per_second=23.3838G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time_stddev        158 ns        15652 ns            5 bytes=0 bytes_per_second=5.67175M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):24/manual_time_cv           0.02 %          1.73 %             5 bytes=0.00% bytes_per_second=0.02% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time           1332701 ns      2176061 ns          526 bytes=33.5544M bytes_per_second=23.4486G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time           1333410 ns      2178501 ns          526 bytes=33.5544M bytes_per_second=23.4362G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time           1334276 ns      2184553 ns          526 bytes=33.5544M bytes_per_second=23.4209G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time           1335126 ns      2186197 ns          526 bytes=33.5544M bytes_per_second=23.406G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time           1331949 ns      2184276 ns          526 bytes=33.5544M bytes_per_second=23.4619G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time_mean      1333492 ns      2181918 ns            5 bytes=33.5544M bytes_per_second=23.4347G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time_median    1333410 ns      2184276 ns            5 bytes=33.5544M bytes_per_second=23.4362G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time_stddev       1255 ns         4381 ns            5 bytes=0 bytes_per_second=22.5761M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):25/manual_time_cv           0.09 %          0.20 %             5 bytes=0.00% bytes_per_second=0.09% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):26/manual_time           2645934 ns      5587461 ns          264 bytes=67.1089M bytes_per_second=23.6212G/s own_numa=0 rd_gpu=0
