
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.022] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.023] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.023] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.023] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1960.75 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.68, 11.22, 26.93
-------------------------------------------------------------------------------------------------------------------------
Benchmark                                                               Time             CPU   Iterations UserCounters...
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time_cv           0.08 %          0.04 %             5 bytes=0.00% bytes_per_second=0.08% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time             11383 ns   1262542874 ns        61539 bytes=65.536k bytes_per_second=5.36188G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time             11378 ns   1262326145 ns        61539 bytes=65.536k bytes_per_second=5.36451G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time             11386 ns   1262697894 ns        61539 bytes=65.536k bytes_per_second=5.3604G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time             11375 ns   1260189426 ns        61539 bytes=65.536k bytes_per_second=5.36568G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time             11386 ns   1262622397 ns        61539 bytes=65.536k bytes_per_second=5.3604G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time_mean        11382 ns   1262075747 ns            5 bytes=65.536k bytes_per_second=5.36257G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time_median      11383 ns   1262542874 ns            5 bytes=65.536k bytes_per_second=5.36188G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time_stddev       5.13 ns      1063603 ns            5 bytes=0 bytes_per_second=2.47533M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):16/manual_time_cv           0.05 %          0.08 %             5 bytes=0.00% bytes_per_second=0.05% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time             12893 ns   1226115149 ns        54375 bytes=131.072k bytes_per_second=9.46765G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time             12880 ns   1225949752 ns        54375 bytes=131.072k bytes_per_second=9.47735G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time             12882 ns   1226418762 ns        54375 bytes=131.072k bytes_per_second=9.47628G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time             12877 ns   1224416792 ns        54375 bytes=131.072k bytes_per_second=9.47977G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time             12883 ns   1225287893 ns        54375 bytes=131.072k bytes_per_second=9.47549G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time_mean        12883 ns   1225637669 ns            5 bytes=131.072k bytes_per_second=9.47531G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time_median      12882 ns   1225949752 ns            5 bytes=131.072k bytes_per_second=9.47628G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time_stddev       6.22 ns       798181 ns            5 bytes=0 bytes_per_second=4.68431M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):17/manual_time_cv           0.05 %          0.07 %             5 bytes=0.00% bytes_per_second=0.05% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time             13046 ns   1297932023 ns        53698 bytes=262.144k bytes_per_second=18.7134G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time             13038 ns   1297496590 ns        53698 bytes=262.144k bytes_per_second=18.7251G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time             13047 ns   1298679456 ns        53698 bytes=262.144k bytes_per_second=18.713G/s dst_id=0 src_id=0
