
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:44:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:44:32.047] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:44:32.048] [scope] [info] recorded CPU goveror
[2023-10-09 17:44:32.048] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:44:32.048] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:44:34-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.72 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.02, 0.44, 3.92
------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                    Time             CPU   Iterations UserCounters...
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time             52815 ns    526439439 ns        13274 bytes=1048.58k bytes_per_second=18.4901G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time             52849 ns    527305996 ns        13274 bytes=1048.58k bytes_per_second=18.4784G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time             52825 ns    527607124 ns        13274 bytes=1048.58k bytes_per_second=18.4868G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time_mean        52829 ns    526958167 ns            5 bytes=1048.58k bytes_per_second=18.4853G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time_median      52825 ns    527012328 ns            5 bytes=1048.58k bytes_per_second=18.4868G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time_stddev       15.0 ns       523784 ns            5 bytes=0 bytes_per_second=5.38953M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time_cv           0.03 %          0.10 %             5 bytes=0.00% bytes_per_second=0.03% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):21/manual_time             97084 ns    499878418 ns         7213 bytes=2.09715M bytes_per_second=20.1179G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):21/manual_time             97512 ns    501104988 ns         7213 bytes=2.09715M bytes_per_second=20.0296G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):21/manual_time             96897 ns    498242558 ns         7213 bytes=2.09715M bytes_per_second=20.1566G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):21/manual_time             96970 ns    499086723 ns         7213 bytes=2.09715M bytes_per_second=20.1416G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):21/manual_time             97557 ns    500674161 ns         7213 bytes=2.09715M bytes_per_second=20.0204G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):21/manual_time_mean        97204 ns    499797370 ns            5 bytes=2.09715M bytes_per_second=20.0932G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):21/manual_time_median      97084 ns    499878418 ns            5 bytes=2.09715M bytes_per_second=20.1179G/s hip_id=0 numa_id=0
